ID,LastName,FirstName,Gender,DateOfBirth,Company,PolicyNumber,Coverage,IssueDate,IssueState,FaceAmount,PremiumAmount,CashValue
T-TM2713172-11           ,Broderick                ,Nicole              ,F,19751209,TAI  ,TM2713172      ,01  ,20091020,IL,150000.00,181.50,0
T-TM2794935-11           ,Broderick                ,Neil                ,M,19830121,TAI  ,TM2794935      ,01  ,20091105,WI,150000.00,198.00,0
T-LF2913229-11           ,Broderick                ,Raymond             ,M,19590517,TAI  ,LF2913229      ,01  ,20080201,FL,250000.00,528.00,816
T-JT1894169-12           ,Broderick                ,Sara                ,F,19531024,TAI  ,JT1894169      ,01  ,20020401,OH,750000.00,658.56,62169
T-LF2735701-11           ,Broderick                ,Shannon             ,F,19400521,TAI  ,LF2735701      ,01  ,20100505,MI,100000.00,474.10,0
T-TM2973111-11           ,Broderick                ,Suzanne             ,F,19771229,TAI  ,TM2973111      ,01  ,20080701,ID,1000000.00,440.00,0
T-JT1894169-11           ,Broderick                ,Thomas              ,M,19531119,TAI  ,JT1894169      ,01  ,20020401,OH,750000.00,658.56,62169
T-UL0061212-11           ,Broderick                ,Zachary             ,M,19690512,TAI  ,UL0061212      ,01  ,20051215,MA,774000.00,1745.88,164955
T-V19335499-11           ,Briggs                   ,Charles             ,M,19530331,TAI  ,V19335499      ,01  ,20071108,SC,1210800.00,4523.40,556648
T-V19899779-11           ,Briggs                   ,Charles             ,M,19660326,TAI  ,V19899779      ,01  ,20080727,DE,360092.00,446.52,110838
T-V19335050-11           ,Briggs                   ,Donna               ,F,19660924,TAI  ,V19335050      ,01  ,20080816,IL,299775.00,55.44,67651
T-V19896443-11           ,Briggs                   ,Elizabeth           ,F,19720323,TAI  ,V19896443      ,01  ,20051231,OH,696882.00,213.72,100618
T-LF2758012-11           ,Briggs                   ,Fred                ,M,19440721,TAI  ,LF2758012      ,01  ,20100305,IA,100000.00,519.20,0
T-LF2900026-11           ,Briggs                   ,Frances             ,F,19340927,TAI  ,LF2900026      ,01  ,20070601,CO,100000.00,529.10,1746
T-V19335630-11           ,Briggs                   ,Frank               ,M,19491004,TAI  ,V19335630      ,01  ,20080724,WI,193000.00,672.36,15214
T-V19335620-11           ,Briggs                   ,Herman              ,M,19560819,TAI  ,V19335620      ,01  ,20071222,IN,2424017.00,4059.00,0
T-LF2747929-11           ,Briggs                   ,Isabella            ,F,19490609,TAI  ,LF2747929      ,01  ,20090420,OH,100000.00,294.80,0
T-V19896466-11           ,Briggs                   ,Jessica             ,F,19770117,TAI  ,V19896466      ,01  ,20051231,OH,823172.00,175.68,88286
T-V19897749-11           ,Briggs                   ,Karen               ,F,19650601,TAI  ,V19897749      ,01  ,20080316,DE,1086592.00,297.12,257535
T-LF2926165-11           ,Briggs                   ,Laura               ,F,19470610,TAI  ,LF2926165      ,01  ,20080601,WV,150000.00,433.95,716
T-LF2978455-11           ,Briggs                   ,Louis               ,M,19400613,TAI  ,LF2978455      ,01  ,20080601,CO,250000.00,1380.50,1974
T-V19891438-11           ,Briggs                   ,Lisa                ,F,19671118,TAI  ,V19891438      ,01  ,20061231,CO,671429.00,415.08,92398
T-V19897807-11           ,Briggs                   ,Lester              ,M,19540418,TAI  ,V19897807      ,01  ,20071229,TX,1588532.00,9219.84,105816
T-LF2974640-11           ,Briggs                   ,Mark                ,M,19530619,TAI  ,LF2974640      ,01  ,20080501,FL,100000.00,283.80,438
T-UL0061218-11           ,Briggs                   ,Michele             ,F,19530923,TAI  ,UL0061218      ,01  ,20071227,NY,345000.00,297.12,118682
T-UL0061224-11           ,Briggs                   ,Mark                ,M,19750514,TAI  ,UL0061224      ,01  ,20051002,WI,248960.00,167.28,49814
T-LF2985003-11           ,Briggs                   ,Nora                ,F,19481215,TAI  ,LF2985003      ,01  ,20070501,FL,100000.00,334.40,912
T-V19897802-11           ,Briggs                   ,Nancy               ,F,19640410,TAI  ,V19897802      ,01  ,20071229,TX,1542105.00,1578.60,75371
T-TM2713390-11           ,Briggs                   ,Patrick             ,M,19840429,TAI  ,TM2713390      ,01  ,20091020,MO,1000000.00,660.00,0
T-LF2923074-11           ,Briggs                   ,Rebecca             ,F,19470830,TAI  ,LF2923074      ,01  ,20080801,OH,150000.00,433.95,716
T-UL0061220-11           ,Briggs                   ,Susan               ,F,19530207,TAI  ,UL0061220      ,01  ,20051002,WI,134786.00,269.04,51737
T-LF2918381-11           ,Briggs                   ,Timothy             ,M,19420810,TAI  ,LF2918381      ,01  ,20071201,OH,100000.00,489.50,1462
T-V19891436-11           ,Briggs                   ,Thomas              ,M,19780928,TAI  ,V19891436      ,01  ,20061231,CO,462125.00,252.24,40031
T-V19897809-11           ,Briggs                   ,Terry               ,M,19560511,TAI  ,V19897809      ,01  ,20071229,TX,1580938.00,7962.36,101266
T-UL0061222-11           ,Briggs                   ,William             ,M,19620421,TAI  ,UL0061222      ,01  ,20070620,IL,1084000.00,2746.08,341951
T-TM2972003-11           ,Briscoe                  ,Bill                ,M,19760520,TAI  ,TM2972003      ,01  ,20080501,OH,1000000.00,770.00,0
T-V19897323-11           ,Briscoe                  ,Denise              ,F,19670514,TAI  ,V19897323      ,01  ,20090702,TX,754140.00,66.24,199437
T-LF2246555-11           ,Briscoe                  ,Georgia             ,F,19691011,TAI  ,LF2246555      ,01  ,20100605,MI,200000.00,250.80,0
T-V19896445-11           ,Briscoe                  ,Judy                ,F,19540104,TAI  ,V19896445      ,01  ,20051231,OH,394260.00,481.68,125216
T-V19891434-11           ,Briscoe                  ,Nora                ,F,19541222,TAI  ,V19891434      ,01  ,20061231,CO,943405.00,1631.04,260267
T-TM2715643-11           ,Briscoe                  ,Shannon             ,F,19750903,TAI  ,TM2715643      ,01  ,20091020,FL,500000.00,440.00,0
T-TM2713478-11           ,Brock                    ,Arlene              ,F,19790115,TAI  ,TM2713478      ,01  ,20091105,NJ,1000000.00,495.00,0
T-LF2936309-11           ,Braun                    ,Pauline             ,F,19490609,TAI  ,LF2936309      ,01  ,20081205,MN,100000.00,368.50,474
T-LF2744859-11           ,Braun                    ,Rose                ,F,19410712,TAI  ,LF2744859      ,01  ,20090105,OH,100000.00,430.10,0
T-UL0061228-11           ,Braun                    ,Rosemary            ,F,19550530,TAI  ,UL0061228      ,01  ,20060331,HI,772684.00,1261.68,246980
T-UL0061228-11           ,Braun                    ,Rosemary            ,F,19550530,TAI  ,UL0061228      ,51  ,20070331,HI,772684.00,1376.08,240967
T-V19897805-11           ,Braun                    ,Ronald              ,M,19671014,TAI  ,V19897805      ,01  ,20071229,TX,1544241.00,2106.72,76167
T-V19897803-11           ,Braun                    ,Tony                ,M,19470715,TAI  ,V19897803      ,01  ,20071229,TX,1614269.00,15748.92,117630
T-LF2745231-11           ,Braun                    ,Yolanda             ,F,19590714,TAI  ,LF2745231      ,01  ,20090420,WV,100000.00,188.10,0
T-LF2955215-11           ,Braun                    ,Yolanda             ,F,19330303,TAI  ,LF2955215      ,01  ,20081205,TN,150000.00,986.70,1476
T-TM2972018-11           ,Brennan                  ,Andrew              ,M,19750907,TAI  ,TM2972018      ,01  ,20080601,IL,150000.00,231.00,0
T-V19899777-11           ,Brennan                  ,Arnold              ,M,19730209,TAI  ,V19899777      ,01  ,20080727,DE,452365.00,328.68,108448
T-V19891012-11           ,Brennan                  ,Frances             ,F,19631014,TAI  ,V19891012      ,01  ,20061231,FL,1113070.00,956.88,223010
T-LF2991469-11           ,Brennan                  ,Gail                ,F,19540630,TAI  ,LF2991469      ,01  ,20080401,OH,100000.00,212.30,326
T-LF2765363-11           ,Brennan                  ,Kelly               ,F,19530316,TAI  ,LF2765363      ,01  ,20090605,QE,100000.00,256.30,0
T-LF2990249-11           ,Brennan                  ,Maureen             ,F,19850119,TAI  ,LF2990249      ,01  ,20080401,SK,150000.00,94.05,110
T-V19891430-11           ,Brennan                  ,Paul                ,M,19761004,TAI  ,V19891430      ,01  ,20061231,CO,601200.00,386.40,62279
T-TM2715594-11           ,Brennan                  ,Victoria            ,F,19600706,TAI  ,TM2715594      ,01  ,20091020,OH,250000.00,962.50,0
T-V19897521-11           ,Brennan                  ,Victor              ,M,19590305,TAI  ,V19897521      ,01  ,20081221,TX,710153.00,305.52,283389
T-LF2715479-11           ,Briggs                   ,Amy                 ,F,19621008,TAI  ,LF2715479      ,01  ,20091005,MO,200000.00,323.40,0
T-LF2907306-11           ,Briggs                   ,Anne                ,F,19470326,TAI  ,LF2907306      ,01  ,20070901,MI,100000.00,289.30,964
T-LF2970585-11           ,Briggs                   ,Annette             ,F,19430902,TAI  ,LF2970585      ,01  ,20080501,IN,100000.00,348.70,576
T-TM2973793-11           ,Briggs                   ,Arthur              ,M,19870626,TAI  ,TM2973793      ,01  ,20080701,OH,150000.00,198.00,0
T-V19896464-11           ,Briggs                   ,Arthur              ,M,19551110,TAI  ,V19896464      ,01  ,20051231,OH,358521.00,813.24,131353
T-LF2703041-11           ,Briggs                   ,Bruce               ,M,19570722,TAI  ,LF2703041      ,01  ,20090720,MO,100000.00,260.70,0
T-TM2972086-11           ,Briggs                   ,Beverly             ,F,19810301,TAI  ,TM2972086      ,01  ,20080601,OH,500000.00,357.50,0
T-UL0061226-11           ,Briggs                   ,Barry               ,M,19631011,TAI  ,UL0061226      ,01  ,20060610,TN,500000.00,957.84,137186
T-V19335491-11           ,Briggs                   ,Bill                ,M,19590808,TAI  ,V19335491      ,01  ,20071108,SC,1028598.00,2486.40,377502
T-LF2727858-11           ,Briggs                   ,Claudia             ,F,19890414,TAI  ,LF2727858      ,01  ,20091205,FL,100000.00,60.50,0
T-LF2992509-11           ,Briggs                   ,Carol               ,F,19470312,TAI  ,LF2992509      ,01  ,20080301,MI,100000.00,289.30,478
T-V19891394-11           ,Brophy                   ,Allen               ,M,19660209,TAI  ,V19891394      ,01  ,20080316,DE,2487413.00,1059.84,712430
T-V19896441-11           ,Brophy                   ,Amy                 ,F,19710609,TAI  ,V19896441      ,01  ,20051231,OH,674032.00,204.96,102282
T-V19891457-11           ,Brophy                   ,Edwin               ,M,19720727,TAI  ,V19891457      ,01  ,20061231,CO,564424.00,463.92,79029
T-V19896449-11           ,Brophy                   ,Margaret            ,F,19640511,TAI  ,V19896449      ,01  ,20051231,OH,536049.00,303.48,112537
T-TM2794758-11           ,Brown                    ,Agnes               ,F,19770609,TAI  ,TM2794758      ,01  ,20091020,CA,150000.00,181.50,0
T-V19335058-11           ,Brown                    ,Arnold              ,M,19660911,TAI  ,V19335058      ,01  ,20080816,IL,256396.00,110.64,71163
T-V19899770-11           ,Brown                    ,Charles             ,M,19701125,TAI  ,V19899770      ,01  ,20080727,DE,409769.00,358.68,109533
T-LF2959943-11           ,Brown                    ,Frances             ,F,19501224,TAI  ,LF2959943      ,01  ,20081120,CA,100000.00,269.50,402
T-UL0061199-11           ,Brown                    ,Gregory             ,M,19571129,TAI  ,UL0061199      ,01  ,20071227,NY,335000.00,481.08,122798
T-LF2789457-11           ,Brown                    ,Judith              ,F,19400506,TAI  ,LF2789457      ,01  ,20090501,OH,100000.00,452.10,0
T-LF2246559-11           ,Brown                    ,Norma               ,F,19550703,TAI  ,LF2246559      ,01  ,20100520,OH,500000.00,1177.00,0
T-LF2246641-11           ,Brown                    ,Tracy               ,F,19490423,TAI  ,LF2246641      ,01  ,20100405,OH,100000.00,306.90,0
T-V19897366-11           ,Brown                    ,Victor              ,M,19520608,TAI  ,V19897366      ,01  ,20081221,TX,539242.00,329.64,262770
T-TM2794033-11           ,Browne                   ,Agnes               ,F,19750312,TAI  ,TM2794033      ,01  ,20091120,WV,1000000.00,605.00,0
T-LF2928535-11           ,Browne                   ,Cheryl              ,F,19450819,TAI  ,LF2928535      ,01  ,20080701,FL,100000.00,319.00,526
T-TM2794030-11           ,Browne                   ,Charles             ,M,19681018,TAI  ,TM2794030      ,01  ,20091015,WV,1000000.00,1485.00,0
T-V19896448-11           ,Browne                   ,Carol               ,F,19730520,TAI  ,V19896448      ,01  ,20051231,OH,720537.00,222.96,98499
T-V19896440-11           ,Browne                   ,Dora                ,F,19621128,TAI  ,V19896440      ,01  ,20051231,OH,519355.00,338.88,114000
T-UL0061195-11           ,Browne                   ,Gail                ,F,19600922,TAI  ,UL0061195      ,01  ,20060331,HI,772663.00,891.00,201522
T-UL0061195-11           ,Browne                   ,Gail                ,F,19600922,TAI  ,UL0061195      ,51  ,20070331,HI,772663.00,1001.20,194989
T-V19897748-11           ,Browne                   ,Georgia             ,F,19761003,TAI  ,V19897748      ,01  ,20080316,DE,1563224.00,160.92,216653
T-LF2979291-11           ,Browne                   ,Julie               ,F,19660404,TAI  ,LF2979291      ,01  ,20080601,FL,100000.00,128.70,190
T-UL0061196-11           ,Browne                   ,Laura               ,F,19590317,TAI  ,UL0061196      ,01  ,20051002,WI,333260.00,412.32,104199
T-V19896446-11           ,Browne                   ,Louis               ,M,19410718,TAI  ,V19896446      ,01  ,20051231,OH,246116.00,1541.40,137296
T-V19897801-11           ,Browne                   ,Norma               ,F,19510719,TAI  ,V19897801      ,01  ,20071229,TX,1576382.00,4750.20,105130
T-LF2722081-11           ,Browne                   ,Patricia            ,F,19570127,TAI  ,LF2722081      ,01  ,20100120,OH,100000.00,215.60,0
T-LF2722081-11           ,Browne                   ,Patricia            ,F,19570127,TAI  ,LF2924759      ,01  ,20080701,OH,100000.00,194.70,296
T-LF2728030-11           ,Browne                   ,Peter               ,M,19390215,TAI  ,LF2728030      ,01  ,20100105,ID,100000.00,685.30,0
T-LF2933032-11           ,Browne                   ,Rachel              ,F,19440322,TAI  ,LF2933032      ,01  ,20090120,MI,100000.00,369.60,0
T-UL0061193-11           ,Browne                   ,Rob                 ,M,19480727,TAI  ,UL0061193      ,01  ,20070528,CA,400000.00,3157.68,0
T-LF2725483-11           ,Browne                   ,Timothy             ,M,19601223,TAI  ,LF2725483      ,01  ,20100220,OH,150000.00,353.10,0
T-UL0061190-11           ,Browne                   ,Zachary             ,M,19571022,TAI  ,UL0061190      ,01  ,20061228,PA,1125000.00,5532.84,61090
T-LF2267701-11           ,Bruce                    ,Alice               ,F,19500327,TAI  ,LF2267701      ,01  ,20100705,ON,100000.00,383.90,0
T-UL0061181-11           ,Bruce                    ,Allen               ,M,19550907,TAI  ,UL0061181      ,01  ,20070605,PA,767072.00,2002.80,300649
T-V19335614-11           ,Bruce                    ,Andrew              ,M,19550902,TAI  ,V19335614      ,01  ,20071108,SC,824291.00,2638.68,343368
T-V19899778-11           ,Bruce                    ,Arthur              ,M,19621014,TAI  ,V19899778      ,01  ,20080727,DE,317751.00,613.80,112091
T-LF2207034-11           ,Bruce                    ,Charles             ,M,19860518,TAI  ,LF2207034      ,01  ,20100820,KY,250000.00,297.00,0
T-V19896444-11           ,Bruce                    ,Courtney            ,F,19670525,TAI  ,V19896444      ,01  ,20051231,OH,590484.00,230.40,108401
T-UL0061172-11           ,Bruce                    ,Duane               ,M,19600303,TAI  ,UL0061172      ,01  ,20061221,AL,129278.00,250.20,38619
T-UL0061175-11           ,Bruce                    ,David               ,M,19721013,TAI  ,UL0061175      ,01  ,20051002,WI,225455.00,167.16,51331
T-LF2905413-11           ,Bruce                    ,Erica               ,F,19880131,TAI  ,LF2905413      ,01  ,20070901,OH,250000.00,137.50,302
T-LF2985635-11           ,Bruce                    ,Frances             ,F,19341209,TAI  ,LF2985635      ,01  ,20070501,FL,100000.00,529.10,1746
T-JT1894431-11           ,Bruce                    ,George              ,M,19341015,TAI  ,JT1894431      ,01  ,20010401,MD,1000000.00,6064.92,304394
T-LF2292939-11           ,Bruce                    ,George              ,M,19681215,TAI  ,LF2292939      ,01  ,20101010,OH,500000.00,1061.50,0
T-LF2901501-11           ,Bruce                    ,Jeanne              ,F,19441120,TAI  ,LF2901501      ,01  ,20071001,OH,200000.00,638.00,2120
T-LF2931206-11           ,Bruce                    ,Judith              ,F,19421204,TAI  ,LF2931206      ,01  ,20081201,MI,100000.00,470.80,630
T-LF2926168-11           ,Bruce                    ,Leah                ,F,19890402,TAI  ,LF2926168      ,01  ,20080701,MI,100000.00,63.80,72
T-UL0061187-11           ,Bruce                    ,Laura               ,F,19550711,TAI  ,UL0061187      ,01  ,20061221,AL,133832.00,162.00,37402
T-LF2292473-11           ,Bruce                    ,Mark                ,M,19461020,TAI  ,LF2292473      ,01  ,20101001,AL,250000.00,1177.00,0
T-UL0061169-11           ,Bruce                    ,Nancy               ,F,19740111,TAI  ,UL0061169      ,01  ,20080328,MN,612751.00,789.72,104401
T-UL0061178-11           ,Bruce                    ,Norm                ,M,19660505,TAI  ,UL0061178      ,01  ,20051230,GA,225771.00,302.76,57587
T-UL0061184-11           ,Bruce                    ,Nellie              ,F,19471227,TAI  ,UL0061184      ,01  ,20070605,PA,101654.00,219.12,42391
T-LF2905415-11           ,Bruce                    ,Peter               ,M,19871030,TAI  ,LF2905415      ,01  ,20070901,OH,250000.00,206.25,424
T-V19894333-11           ,Bruce                    ,Phyllis             ,F,19500107,TAI  ,V19894333      ,01  ,20051231,OH,350752.00,606.72,129667
T-JT1894431-12           ,Bruce                    ,Regina              ,F,19341117,TAI  ,JT1894431      ,01  ,20010401,MD,1000000.00,6064.92,304394
T-LF2763165-11           ,Bruce                    ,Rosemary            ,F,19480528,TAI  ,LF2763165      ,01  ,20090605,OH,100000.00,323.40,0
T-V19891451-11           ,Bruce                    ,Ronald              ,M,19690711,TAI  ,V19891451      ,01  ,20061231,CO,750623.00,744.96,126976
T-V19894335-11           ,Bruce                    ,Terry               ,M,19551001,TAI  ,V19894335      ,01  ,20051231,OH,358521.00,813.24,131353
T-V19891459-11           ,Bruce                    ,William             ,M,19650717,TAI  ,V19891459      ,01  ,20061231,CO,682057.00,963.12,144408
T-LF2707705-11           ,Buckingham               ,Arlene              ,F,19290605,TAI  ,LF2707705      ,01  ,20090801,OH,100000.00,887.70,0
T-LF2716651-11           ,Buckingham               ,Andrew              ,M,19901109,TAI  ,LF2716651      ,01  ,20090920,OH,250000.00,165.00,0
T-LF2742112-11           ,Buckingham               ,Allan               ,M,19791006,TAI  ,LF2742112      ,01  ,20090420,OH,100000.00,94.60,0
T-LF2774082-11           ,Buckingham               ,April               ,F,19850928,TAI  ,LF2774082      ,01  ,20091220,MO,1000000.00,693.00,0
T-LF2795569-11           ,Buckingham               ,Alice               ,F,19320303,TAI  ,LF2795569      ,01  ,20091120,FL,100000.00,750.20,0
T-LF2936383-11           ,Buckingham               ,Ann                 ,F,19480724,TAI  ,LF2936383      ,01  ,20081220,CO,500000.00,1534.50,0
T-LF2938140-11           ,Buckingham               ,April               ,F,19820125,TAI  ,LF2938140      ,01  ,20081220,FL,250000.00,368.50,0
T-LF2974285-11           ,Buckingham               ,Angela              ,F,19380320,TAI  ,LF2974285      ,01  ,20080501,OR,100000.00,468.60,802
T-LF2976291-11           ,Buckingham               ,Allen               ,M,19450429,TAI  ,LF2976291      ,01  ,20080401,OH,100000.00,421.30,640
T-LF2992213-11           ,Buckingham               ,Antonia             ,F,19860522,TAI  ,LF2992213      ,01  ,20080501,OH,500000.00,297.00,332
T-TM2794727-11           ,Buckingham               ,Allan               ,M,19790705,TAI  ,TM2794727      ,01  ,20091105,MO,1000000.00,660.00,0
T-TM2972112-11           ,Buckingham               ,Anita               ,F,19790910,TAI  ,TM2972112      ,01  ,20080601,CA,250000.00,206.25,0
T-TM2972643-11           ,Buckingham               ,Amanda              ,F,19821012,TAI  ,TM2972643      ,01  ,20080601,WA,150000.00,132.00,0
T-UL0061091-11           ,Buckingham               ,Audrey              ,F,19520523,TAI  ,UL0061091      ,01  ,20051230,GA,171656.00,356.88,61520
T-UL0061097-11           ,Buckingham               ,Alice               ,F,19640326,TAI  ,UL0061097      ,01  ,20061221,AL,171114.00,116.88,31942
T-UL0061124-11           ,Buckingham               ,April               ,F,19661111,TAI  ,UL0061124      ,01  ,20070228,TN,300000.00,757.56,1585
T-UL0061166-11           ,Buckingham               ,Allen               ,M,19650827,TAI  ,UL0061166      ,01  ,20070309,AL,266534.00,311.64,65755
T-V19335602-11           ,Buckingham               ,Arthur              ,M,19601101,TAI  ,V19335602      ,01  ,20071108,SC,600624.00,1349.04,210852
T-V19335603-11           ,Buckingham               ,Allen               ,M,19780830,TAI  ,V19335603      ,01  ,20071108,SC,161191.00,80.40,26683
T-V19891450-11           ,Buckingham               ,Amanda              ,F,19630509,TAI  ,V19891450      ,01  ,20061231,CO,561053.00,546.24,103701
T-V19894332-11           ,Buckingham               ,Arthur              ,M,19501204,TAI  ,V19894332      ,01  ,20051231,OH,310444.00,947.40,133891
T-V19894337-11           ,Buckingham               ,Allen               ,M,19500826,TAI  ,V19894337      ,01  ,20051231,OH,310444.00,947.40,133891
T-V19894339-11           ,Buckingham               ,Andrew              ,M,19610522,TAI  ,V19894339      ,01  ,20051231,OH,417258.00,659.64,126475
T-V19897744-11           ,Buckingham               ,Antonia             ,F,19790322,TAI  ,V19897744      ,01  ,20080316,DE,955375.00,99.96,118989
T-V19897746-11           ,Buckingham               ,Amanda              ,F,19530927,TAI  ,V19897746      ,01  ,20080316,DE,987586.00,529.80,353372
T-LF2783300-11           ,Buckingham               ,Bridget             ,F,19461205,TAI  ,LF2783300      ,01  ,20090720,MN,250000.00,844.25,0
T-LF2927056-11           ,Buckingham               ,Beverly             ,F,19521225,TAI  ,LF2927056      ,01  ,20080901,WV,100000.00,231.00,362
T-LF2930131-11           ,Buckingham               ,Bridget             ,F,19300427,TAI  ,LF2930131      ,01  ,20081205,IN,100000.00,795.30,1110
T-TM2713445-11           ,Buckingham               ,Bradley             ,M,19650727,TAI  ,TM2713445      ,01  ,20091101,MI,750000.00,1856.25,0
T-UL0061163-11           ,Buckingham               ,Brandon             ,M,19560213,TAI  ,UL0061163      ,01  ,20060409,WV,1010000.00,3441.36,382874
T-V19335868-11           ,Buckingham               ,Bradley             ,M,19651108,TAI  ,V19335868      ,01  ,20080724,WI,407000.00,308.64,23116
T-V19899776-11           ,Buckingham               ,Bradley             ,M,19630402,TAI  ,V19899776      ,01  ,20080727,DE,327708.00,567.12,111767
T-LF2789109-11           ,Buckingham               ,Catherine           ,F,19410508,TAI  ,LF2789109      ,01  ,20090620,QE,100000.00,452.10,0
T-LF2789975-11           ,Buckingham               ,Cynthia             ,F,19530702,TAI  ,LF2789975      ,01  ,20090605,KY,100000.00,245.30,0
T-UL0061121-11           ,Buckingham               ,Christine           ,F,19690613,TAI  ,UL0061121      ,01  ,20061221,AL,201037.00,83.16,27876
T-UL0061133-11           ,Buckingham               ,Charles             ,M,19510901,TAI  ,UL0061133      ,01  ,20051002,WI,231982.00,972.84,109143
T-UL0061136-11           ,Buckingham               ,Charles             ,M,19500915,TAI  ,UL0061136      ,01  ,20070601,TX,197000.00,1610.04,96182
T-UL0061139-11           ,Buckingham               ,Charlene            ,F,19630628,TAI  ,UL0061139      ,01  ,20060628,OH,627000.00,1412.28,172202
